ID, t, I
809, 8.090, 1668.0
810, 8.100, 1643.0
811, 8.110, 1634.0
812, 8.120, 1632.0
813, 8.130, 1647.0
814, 8.140, 1667.0
815, 8.150, 1642.0
816, 8.160, 1619.0
817, 8.170, 1626.0
818, 8.180, 1649.0
819, 8.190, 1670.0
820, 8.200, 1652.0
821, 8.210, 1647.0
822, 8.220, 1643.0
823, 8.230, 1676.0
824, 8.240, 1682.0
825, 8.250, 1685.0
826, 8.260, 1683.0
827, 8.270, 1659.0
828, 8.280, 1679.0
829, 8.290, 1689.0
830, 8.300, 1700.0
831, 8.310, 1718.0
832, 8.320, 1691.0
833, 8.330, 1684.0
834, 8.340, 1662.0
835, 8.350, 1697.0
836, 8.360, 1716.0
837, 8.370, 1710.0
838, 8.380, 1688.0
839, 8.390, 1679.0
840, 8.400, 1686.0
841, 8.410, 1700.0
842, 8.420, 1709.0
843, 8.430, 1693.0
844, 8.440, 1673.0
845, 8.450, 1683.0
846, 8.460, 1695.0
847, 8.470, 1693.0
848, 8.480, 1686.0
849, 8.490, 1660.0
850, 8.500, 1683.0
851, 8.510, 1674.0
852, 8.520, 1656.0
853, 8.530, 1675.0
854, 8.540, 1660.0
855, 8.550, 1666.0
856, 8.560, 1644.0
857, 8.570, 1642.0
858, 8.580, 1661.0
859, 8.590, 1671.0
860, 8.600, 1647.0
861, 8.610, 1626.0
862, 8.620, 1626.0
863, 8.630, 1651.0
864, 8.640, 1668.0
865, 8.650, 1649.0
866, 8.660, 1623.0
867, 8.670, 1620.0
868, 8.680, 1650.0
869, 8.690, 1665.0
870, 8.700, 1665.0
871, 8.710, 1627.0
872, 8.720, 1649.0
873, 8.730, 1663.0
874, 8.740, 1667.0
875, 8.750, 1684.0
876, 8.760, 1664.0
877, 8.770, 1682.0
878, 8.780, 1690.0
879, 8.790, 1686.0
880, 8.800, 1721.0
881, 8.810, 1711.0
882, 8.820, 1715.0
883, 8.830, 1691.0
884, 8.840, 1684.0
885, 8.850, 1707.0
886, 8.860, 1731.0
887, 8.870, 1729.0
888, 8.880, 1719.0
889, 8.890, 1695.0
890, 8.900, 1706.0
891, 8.910, 1725.0
892, 8.920, 1735.0
893, 8.930, 1690.0
894, 8.940, 1679.0
895, 8.950, 1685.0
896, 8.960, 1700.0
897, 8.970, 1705.0
898, 8.980, 1679.0
899, 8.990, 1663.0
900, 9.000, 1662.0
901, 9.010, 1644.0
902, 9.020, 1662.0
903, 9.030, 1661.0
904, 9.040, 1655.0
905, 9.050, 1642.0
906, 9.060, 1615.0
907, 9.070, 1618.0
908, 9.080, 1654.0
909, 9.090, 1644.0
910, 9.100, 1631.0
911, 9.110, 1619.0
912, 9.120, 1632.0
913, 9.130, 1672.0
914, 9.140, 1667.0
915, 9.150, 1652.0
916, 9.160, 1636.0
917, 9.170, 1640.0
918, 9.180, 1652.0
919, 9.190, 1680.0
920, 9.200, 1677.0
921, 9.210, 1694.0
922, 9.220, 1684.0
923, 9.230, 1692.0
924, 9.240, 1689.0
925, 9.250, 1668.0
926, 9.260, 1657.0
927, 9.270, 1695.0
928, 9.280, 1693.0
929, 9.290, 1671.0
930, 9.300, 1708.0
931, 9.310, 1679.0
932, 9.320, 1694.0
933, 9.330, 1697.0
934, 9.340, 1663.0
935, 9.350, 1653.0
936, 9.360, 1710.0
937, 9.370, 1736.0
938, 9.380, 1695.0
939, 9.390, 1675.0
940, 9.400, 1706.0
941, 9.410, 1709.0
942, 9.420, 1656.0
943, 9.430, 1652.0
944, 9.440, 1651.0
945, 9.450, 1670.0
946, 9.460, 1640.0
947, 9.470, 1613.0
948, 9.480, 1645.0
949, 9.490, 1672.0
950, 9.500, 1657.0
951, 9.510, 1606.0
952, 9.520, 1618.0
953, 9.530, 1640.0
954, 9.540, 1685.0
955, 9.550, 1638.0
956, 9.560, 1625.0
957, 9.570, 1619.0
958, 9.580, 1650.0
959, 9.590, 1661.0
960, 9.600, 1644.0
961, 9.610, 1664.0
962, 9.620, 1633.0
963, 9.630, 1647.0
964, 9.640, 1655.0
965, 9.650, 1704.0
966, 9.660, 1694.0
967, 9.670, 1661.0
968, 9.680, 1662.0
969, 9.690, 1687.0
970, 9.700, 1734.0
971, 9.710, 1737.0
972, 9.720, 1687.0
973, 9.730, 1692.0
974, 9.740, 1688.0
975, 9.750, 1733.0
976, 9.760, 1749.0
977, 9.770, 1742.0
978, 9.780, 1722.0
979, 9.790, 1671.0
980, 9.800, 1712.0
981, 9.810, 1779.0
982, 9.820, 1742.0
983, 9.830, 1711.0
984, 9.840, 1663.0
985, 9.850, 1687.0
986, 9.860, 1717.0
987, 9.870, 1701.0
988, 9.880, 1683.0
989, 9.890, 1661.0
990, 9.900, 1677.0
991, 9.910, 1637.0
992, 9.920, 1629.0
993, 9.930, 1650.0
994, 9.940, 1648.0
995, 9.950, 1631.0
996, 9.960, 1623.0
997, 9.970, 1604.0
998, 9.980, 1641.0
999, 9.990, 1648.0
1000, 10.000, 1629.0
1001, 10.010, 1611.0
1002, 10.020, 1616.0
1003, 10.030, 1648.0
1004, 10.040, 1659.0
1005, 10.050, 1635.0
1006, 10.060, 1621.0
1007, 10.070, 1638.0
1008, 10.080, 1665.0
1009, 10.090, 1678.0
1010, 10.100, 1676.0
1011, 10.110, 1619.0
1012, 10.120, 1629.0
1013, 10.130, 1649.0
1014, 10.140, 1673.0
1015, 10.150, 1732.0
1016, 10.160, 1724.0
1017, 10.170, 1700.0
1018, 10.180, 1695.0
1019, 10.190, 1683.0
1020, 10.200, 1735.0
1021, 10.210, 1765.0
1022, 10.220, 1746.0
1023, 10.230, 1711.0
1024, 10.240, 1703.0
1025, 10.250, 1739.0
1026, 10.260, 1747.0
1027, 10.270, 1762.0
1028, 10.280, 1697.0
1029, 10.290, 1648.0
1030, 10.300, 1686.0
1031, 10.310, 1776.0
1032, 10.320, 1773.0
1033, 10.330, 1700.0
1034, 10.340, 1688.0
1035, 10.350, 1647.0
1036, 10.360, 1653.0
1037, 10.370, 1693.0
1038, 10.380, 1679.0
1039, 10.390, 1678.0
1040, 10.400, 1647.0
1041, 10.410, 1591.0
1042, 10.420, 1622.0
1043, 10.430, 1643.0
1044, 10.440, 1644.0
1045, 10.450, 1623.0
1046, 10.460, 1583.0
1047, 10.470, 1588.0
1048, 10.480, 1629.0
1049, 10.490, 1645.0
1050, 10.500, 1618.0
1051, 10.510, 1570.0
1052, 10.520, 1600.0
1053, 10.530, 1615.0
1054, 10.540, 1643.0
1055, 10.550, 1630.0
1056, 10.560, 1625.0
1057, 10.570, 1626.0
1058, 10.580, 1647.0
1059, 10.590, 1671.0
1060, 10.600, 1649.0
1061, 10.610, 1669.0
1062, 10.620, 1702.0
1063, 10.630, 1696.0
1064, 10.640, 1710.0
1065, 10.650, 1703.0
